日期,指标名称,判断结果,情绪得分,数值数据,判断标准,当前状态解读
2025-06-25,避险资产流向 (TLT+GLD),中性,0.0,-138.6,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-06-25,TRIN 指数 (Arms Index),悲观,-1.0,1.23,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,卖压放大、成交集中于下跌股票，显示恐慌倾向。
2025-06-25,成交量趋势 (SPY),中性,0.0,1.04,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-06-25,VIX 指数 (恐慌指数),乐观,1.0,16.76,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.76)，显示市场预期稳定，风险情绪低。
2025-06-26,避险资产流向 (TLT+GLD),,,,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,避险资产流向 (TLT+GLD)当前状态：nan
2025-06-26,SPY 当日净流入金额,乐观,1.0,4100.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,主流ETF出现大额净流入，显示资金持续流入市场、风险偏好上升。
2025-06-26,TRIN 指数 (Arms Index),中性,0.0,1.03,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,广度与动能平衡，市场短期没有方向。
2025-06-26,成交量趋势 (SPY),乐观,1.0,1.31,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格上涨同时伴随成交量显著增加（>20日均值的1.2倍），买盘积极、市场信心强。
2025-06-26,美元指数 (DXY),乐观,1.0,96.762,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-06-26,新高/新低比 (NH/NL),乐观,1.0,11.14,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-06-26,涨跌比 (A/D Ratio),乐观,1.0,4.97,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨股票数量远多于下跌，市场上涨广度强，可能是健康的上涨。
2025-06-26,指数与均线 (S&P 500),乐观,1.0,"6141.02,6002.24,5793.92",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-06-26,Put/Call Ratio,乐观,1.0,0.53,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-06-26,CNN Fear & Greed,乐观,1.0,63.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪在多空平衡点，投资者理性程度较高。
2025-06-26,VIX 指数 (恐慌指数),乐观,1.0,16.59,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.59)，显示市场预期稳定，风险情绪低。
2025-06-27,CNN Fear & Greed,乐观,1.0,65.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪在多空平衡点，投资者理性程度较高。
2025-06-27,VIX 指数 (恐慌指数),乐观,1.0,16.32,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.32)，显示市场预期稳定，风险情绪低。
2025-06-27,Put/Call Ratio,乐观,1.0,0.52,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-06-27,指数与均线 (S&P 500),乐观,1.0,"6173.07,6015.29,5809.44",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-06-27,涨跌比 (A/D Ratio),中性,0.0,1.31,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨与下跌股票数量相近，市场内部分歧较大。
2025-06-27,新高/新低比 (NH/NL),乐观,1.0,12.86,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-06-27,成交量趋势 (SPY),乐观,1.0,1.44,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格上涨同时伴随成交量显著增加（>20日均值的1.2倍），买盘积极、市场信心强。
2025-06-27,TRIN 指数 (Arms Index),中性,0.0,1.03,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,广度与动能平衡，市场短期没有方向。
2025-06-27,SPY 当日净流入金额,悲观,-1.0,-887.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,出现大额净流出，反映机构减仓或市场避险升温。
2025-06-27,避险资产流向 (TLT+GLD),中性,0.0,21.1,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-06-27,美元指数 (DXY),乐观,1.0,97.031,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-06-30,VIX 指数 (恐慌指数),乐观,1.0,16.73,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.73)，显示市场预期稳定，风险情绪低。
2025-06-30,指数与均线 (S&P 500),乐观,1.0,"6204.95,6029.95,5828.03",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-06-30,涨跌比 (A/D Ratio),乐观,1.0,2.57,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨股票数量远多于下跌，市场上涨广度强，可能是健康的上涨。
2025-06-30,CNN Fear & Greed,中性,0.0,65.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-06-30,新高/新低比 (NH/NL),中性,0.0,9.11,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,市场扩散健康但非过热，属于良性结构。
2025-06-30,成交量趋势 (SPY),中性,0.0,0.84,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-06-30,TRIN 指数 (Arms Index),中性,0.0,1.08,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,广度与动能平衡，市场短期没有方向。
2025-06-30,SPY 当日净流入金额,乐观,1.0,1000.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,主流ETF出现大额净流入，显示资金持续流入市场、风险偏好上升。
2025-06-30,避险资产流向 (TLT+GLD),中性,0.0,-567.8,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-06-30,美元指数 (DXY),乐观,1.0,96.493,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-06-30,Put/Call Ratio,乐观,1.0,0.51,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-01,涨跌比 (A/D Ratio),乐观,1.0,2.65,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨股票数量远多于下跌，市场上涨广度强，可能是健康的上涨。
2025-07-01,VIX 指数 (恐慌指数),乐观,1.0,16.83,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.83)，显示市场预期稳定，风险情绪低。
2025-07-01,CNN Fear & Greed,中性,0.0,61.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-01,美元指数 (DXY),乐观,1.0,96.467,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-01,避险资产流向 (TLT+GLD),中性,0.0,-779.2,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-01,TRIN 指数 (Arms Index),悲观,-1.0,1.33,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,卖压放大、成交集中于下跌股票，显示恐慌倾向。
2025-07-01,Put/Call Ratio,乐观,1.0,0.51,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-01,新高/新低比 (NH/NL),乐观,1.0,22.5,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-07-01,指数与均线 (S&P 500),乐观,1.0,"6198.01,6043.06,5846.34",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-01,成交量趋势 (SPY),中性,0.0,0.87,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-01,SPY 当日净流入金额,悲观,-1.0,-3200.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,出现大额净流出，反映机构减仓或市场避险升温。
2025-07-02,VIX 指数 (恐慌指数),乐观,1.0,16.65,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.65)，显示市场预期稳定，风险情绪低。
2025-07-02,Put/Call Ratio,乐观,1.0,0.55,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-02,指数与均线 (S&P 500),乐观,1.0,"6227.42,6055.91,5867.72",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-02,涨跌比 (A/D Ratio),中性,0.0,1.19,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨与下跌股票数量相近，市场内部分歧较大。
2025-07-02,新高/新低比 (NH/NL),乐观,1.0,14.5,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-07-02,成交量趋势 (SPY),中性,0.0,1.15,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-02,TRIN 指数 (Arms Index),乐观,1.0,0.62,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,买盘广度强、动能足，市场普遍参与度高。
2025-07-02,SPY 当日净流入金额,乐观,1.0,4500.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,主流ETF出现大额净流入，显示资金持续流入市场、风险偏好上升。
2025-07-02,避险资产流向 (TLT+GLD),中性,0.0,44.0,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-02,美元指数 (DXY),乐观,1.0,96.74,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-02,CNN Fear & Greed,中性,0.0,63.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-03,VIX 指数 (恐慌指数),乐观,1.0,17.48,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(17.48)，显示市场预期稳定，风险情绪低。
2025-07-03,CNN Fear & Greed,悲观,-1.0,78.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪极端化，无论极度恐惧还是极度贪婪都预示着反转风险。
2025-07-03,美元指数 (DXY),乐观,1.0,96.986,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-03,Put/Call Ratio,乐观,1.0,0.48,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-03,指数与均线 (S&P 500),乐观,1.0,"6279.35,6071.33,5887.55",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-03,涨跌比 (A/D Ratio),乐观,1.0,2.42,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨股票数量远多于下跌，市场上涨广度强，可能是健康的上涨。
2025-07-03,新高/新低比 (NH/NL),乐观,1.0,47.0,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-07-03,成交量趋势 (SPY),中性,0.0,0.68,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-03,TRIN 指数 (Arms Index),中性,0.0,0.87,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,广度与动能平衡，市场短期没有方向。
2025-07-03,SPY 当日净流入金额,悲观,-1.0,-3900.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,出现大额净流出，反映机构减仓或市场避险升温。
2025-07-03,避险资产流向 (TLT+GLD),,,,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,避险资产流向 (TLT+GLD)当前状态：nan
2025-07-07,指数与均线 (S&P 500),乐观,1.0,6229.98 / 6085.87 / 5904.63,乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-07,美元指数 (DXY),乐观,1.0,96.957,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-07,避险资产流向 (TLT+GLD),,,,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,避险资产流向 (TLT+GLD)当前状态：nan
2025-07-07,VIX 指数 (恐慌指数),乐观,1.0,17.79,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(17.79)，显示市场预期稳定，风险情绪低。
2025-07-07,SPY 当日净流入金额,中性,0.0,0.0017,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,资金进出较为平衡，缺乏明确趋势。
2025-07-07,TRIN 指数 (Arms Index),乐观,1.0,0.44,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,买盘广度强、动能足，市场普遍参与度高。
2025-07-07,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-07,新高/新低比 (NH/NL),乐观,1.0,12.38,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-07-07,涨跌比 (A/D Ratio),悲观,-1.0,0.24,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,下跌股票占据主导，反映市场情绪偏空，普遍抛压出现。
2025-07-07,Put/Call Ratio,乐观,1.0,0.58,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-07,成交量趋势 (SPY),中性,0.0,1.0,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-08,VIX 指数 (恐慌指数),乐观,1.0,16.81,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.81)，显示市场预期稳定，风险情绪低。
2025-07-08,美元指数 (DXY),乐观,1.0,97.683,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-08,Put/Call Ratio,乐观,1.0,0.56,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-08,指数与均线 (S&P 500),乐观,1.0,"6225.52,6097.13,5919.45",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-08,涨跌比 (A/D Ratio),乐观,1.0,1.66,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨股票数量远多于下跌，市场上涨广度强，可能是健康的上涨。
2025-07-08,新高/新低比 (NH/NL),乐观,1.0,14.6,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
